rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
651,Illumina,4526,397000.00%,762,162000.00%,15217,54855.8,55,10775
652,Iron Mountain,4491.5,83000.00%,450.2,314000.00%,14450,16059.5,-47,25000
653,LCI Industries,4472.7,600000%,287.7,816000.00%,3288.1,2624.5,131,13900
654,Marvell Technology,4462.4,503000.00%,-421,-,22108.6,60795.7,-,6712
655,PennyMac Financial Services,4450.2,-19000.00%,1003.5,-391000.00%,18776.6,2948.5,-88,7208
656,Digital Realty Trust,4427.9,134000.00%,1709.3,3796000.00%,36369.6,40337.7,-29,3030
657,TreeHouse Foods,4405.5,-36000.00%,-12.5,-1906000.00%,5207,1800,-93,10000
658,Ralph Lauren,4400.8,-286000.00%,-121.1,-1315000.00%,7887.5,8073.2,-208,16200
659,Mattress Firm Group,4392.9,349000.00%,-165.1,-2314000.00%,3539.1,-,-,8900
660,American National Group,4391.8,158000.00%,699.3,496000.00%,31320.3,5084.1,-24,4545
661,Autodesk,4386.4,157000.00%,497,-589000.00%,8606.8,46580,-24,12600
662,Domino's Pizza,4357.4,58000.00%,510.5,39000.00%,1671.8,14665.9,-52,10450
663,ASGN,4333.8,97000.00%,409.9,1046000.00%,3502.8,6022.2,-41,3900
664,Flowers Foods,4330.8,-13000.00%,206.2,354000.00%,3253.3,5438.6,-76,8900
665,BlueLinx Holdings,4277.2,381000.00%,296.1,2661000.00%,1317.5,699.5,62,2045
666,Palo Alto Networks,4256.1,249000.00%,-498.9,-,10241.6,61307.5,16,10473
667,Maximus,4254.5,229000.00%,291.2,358000.00%,4119,4641.1,10,35800
668,Dentsply Sirona,4251,272000.00%,421,-,9220,10708,23,15000
669,Hub Group,4232.4,211000.00%,171.5,1331000.00%,2437.3,2678.5,2,4700
670,Voya Financial,4230,-537000.00%,2126,-,171262,7042.2,-338,5970
670,Bread Financial Holdings,4230,-64000.00%,801,2748000.00%,21746,2804.6,-101,6000
672,Weis Markets,4224.4,27000.00%,108.8,-85000.00%,1910.5,1921.1,-61,24000
673,Century Communities,4216.3,334000.00%,498.5,1418000.00%,3496.9,1783.2,44,1600
674,Synopsys,4204.2,141000.00%,757.5,140000%,8752.3,51023.2,-23,16361
675,Brink's,4200.2,138000.00%,105.2,5575000.00%,5566.7,3234.4,-25,73350
676,Lennox International,4194.1,154000.00%,464,302000.00%,2171.9,9447.2,-23,11000
677,Service Corp. International,4143.1,180000%,802.9,556000.00%,15691.2,10581.3,-7,20840
678,Conduent,4140,-6000.00%,-28,-,4036,1111.6,-74,60000
679,Timken,4132.9,176000.00%,369.1,297000.00%,5170.7,4539.6,-10,18029
680,Domtar,4132,-111000.00%,-27,-,4854,-,-127,6100
681,Bloomin' Brands,4122.4,300000%,215.6,-,3294.3,1966.6,33,82000
682,CNO Financial Group,4122.2,79000.00%,441,461000.00%,36204.4,2945.7,-50,3350
683,Snap,4117,642000.00%,-488,-,7536.3,58458.4,156,5661
684,Zoom Video Communications,4099.9,546000.00%,1375.6,1046000.00%,7551.3,35066.3,126,6787
685,Patrick Industries,4078.1,640000%,224.9,1317000.00%,2650.7,1408.2,159,11000
686,Paychex,4056.8,4000.00%,1097.5,-1000.00%,9227.2,49268,-69,15000
687,Atlas Air Worldwide Holdings,4030.8,255000.00%,493.3,369000.00%,6443.2,2523.4,21,4056
688,Bright Health Group,4029.4,2337000.00%,-1184.9,-,3598.3,1213.5,-,3203
689,Peloton Interactive,4021.8,1203000.00%,-189,-,4485.6,8760.9,-,8662
690,Country Financial,4016.2,653000.00%,419.2,474000.00%,16327.2,-,164,3149
691,Qorvo,4015.3,240000%,733.6,1194000.00%,7221.5,13456.4,14,8750
692,Catalent,3998,292000.00%,585,1651000.00%,9112,19862.7,36,17300
693,Mercury General,3993.4,55000.00%,247.9,-338000.00%,6772.5,3045.4,-55,4300
694,AMN Healthcare Services,3984.2,664000.00%,327.4,3633000.00%,3131.9,4796.1,168,3800
695,Tri Pointe Homes,3982.2,221000.00%,469.3,663000.00%,4336.2,2160.1,5,1390
696,ArcBest,3980.1,354000.00%,213.5,2003000.00%,2112.7,1979.7,59,14000
697,Toro,3959.6,172000.00%,409.9,243000.00%,2936.1,8936.9,-10,10982
698,Spirit AeroSystems Holdings,3953,161000.00%,-540.8,-,7737.3,5130.6,-14,16100
699,Align Technology,3952.6,599000.00%,772,-565000.00%,5942.1,34354.8,151,22540
700,loanDepot,3943.2,-113000.00%,113.5,-944000.00%,11812.3,1290.3,-117,11307
701,APi Group,3940,98000.00%,47,-,5159,4891.1,-45,13300
702,American Water Works,3930,41000.00%,1263,781000.00%,26075,30085.5,-62,6400
703,Matson,3925.3,647000.00%,927.4,3803000.00%,3693.1,4927.5,163,4259
704,Diebold Nixdorf,3905.2,1000.00%,-78.8,-,3507.2,531.2,-76,22000
705,Marriott Vacations Worldwide,3890,348000.00%,49,-,9613,6620,64,20300
706,Terex,3886.8,261000.00%,220.9,-,2863.5,2485.5,29,8600
707,Sally Beauty Holdings,3875,103000.00%,239.9,1118000.00%,2847.1,1720.5,-39,29000
708,Enovis,3854.3,255000.00%,71.7,681000.00%,8515.3,6419.3,29,16200
709,IAC/InterActiveCorp,3845.1,262000.00%,597.5,1215000.00%,12300.3,9001.4,31,13200
710,Meritor,3833,259000.00%,199,-188000.00%,2938,2519.4,32,9600
711,Ventas,3828,9000.00%,49,-888000.00%,24717.8,24676.2,-77,434
712,GoDaddy,3815.7,150000%,242.3,-,7417.1,14018.7,-15,6611
713,Regal Rexnord,3810.3,311000.00%,209.9,109000.00%,10281.6,10002.1,50,30000
714,Puget Energy,3805.7,144000.00%,260.8,428000.00%,15871.9,-,-19,3185
715,Clean Harbors,3805.6,210000%,203.2,507000.00%,5653.7,6073.8,6,18300
716,Pinnacle West Capital,3803.8,60000%,618.7,124000.00%,22003.2,8820,-59,5872
717,eXp World Holdings,3771.2,1097000.00%,81.2,1609000.00%,413.8,3149.3,-,1669
718,Mueller Industries,3769.3,572000.00%,468.5,2359000.00%,1728.9,3100.4,143,5337
719,Wynn Resorts,3763.7,796000.00%,-755.8,-,12530.8,9243.3,221,26950
720,RH,3758.8,320000%,688.5,1533000.00%,5540.5,7079,57,6100
721,EPAM Systems,3758.1,413000.00%,481.7,472000.00%,3523.2,16870.7,87,58824
722,M/I Homes,3745.9,230000%,396.9,654000.00%,3239.9,1262.2,19,1657
723,Generac Holdings,3737.2,504000.00%,550.5,570000%,4877.8,18960.3,122,9248
724,Mettler-Toledo International,3717.9,205000.00%,769,276000.00%,3326.8,31220.3,10,16700
725,Abercrombie & Fitch,3712.8,188000.00%,263,-,2939.5,1619.5,-1,19250
726,Teradyne,3702.9,186000.00%,1014.6,294000.00%,3809.4,19202.6,-,5900
727,American Equity Investment Life Holding,3689.5,522000.00%,474,-294000.00%,78349.1,3869.2,130,850
728,Southwest Gas Holdings,3680.5,116000.00%,200.8,-136000.00%,12765.3,5233.6,-30,12720
729,Pitney Bowes,3673.6,34000.00%,-1.4,-,4958.9,900.1,-65,11500
730,Lamb Weston Holdings,3670.9,-32000.00%,317.8,-131000.00%,4209.4,8699.1,-95,7800
731,Alliant Energy,3669,74000.00%,659,73000.00%,18553,15670.6,-51,3313
732,Resolute Forest Products,3664,309000.00%,307,29700000%,3538,991.7,51,6900
733,Parsons,3660.8,-66000.00%,64.1,-350000%,3830.9,4012,-108,15500
734,Trimble,3659.1,162000.00%,492.7,264000.00%,7099.6,18122.7,-14,11931
735,OGE Energy,3653.7,722000.00%,737.3,-,12606.4,8164.2,198,2185
736,Garrett Motion,3633,197000.00%,-,-,2706,463.9,7,7600
737,Winnebago Industries,3629.8,541000.00%,281.9,3588000.00%,2062.6,1770.9,140,6532
738,Ciena,3620.7,25000.00%,500.2,384000.00%,4865.2,9223.4,-72,7205
739,PriceSmart,3619.9,87000.00%,98,254000.00%,1705.8,2434.1,-45,10400
740,Advantage Solutions,3602.3,142000.00%,54.5,-,5854.3,2029.6,-22,45000
741,H&R Block,3588.6,359000.00%,683.9,-,4014.4,4284.6,70,38000
742,iHeartMedia,3558.3,207000.00%,-159.2,-,8881.3,2728.1,11,9990
743,Super Micro Computer,3557.4,65000.00%,111.9,327000.00%,2242,1963,-50,4155
744,Flowserve,3541.1,-50000%,125.9,-34000.00%,4749.8,4681.4,-101,16000
745,Charles River Laboratories International,3540.2,211000.00%,391,73000.00%,7024.3,14425.4,15,19300
746,A.O. Smith,3538.9,222000.00%,487.1,412000.00%,3474.4,10032.2,21,13700
747,New Residential Investment,3533.1,5128000.00%,772.2,-,39742.2,5125,-,12296
748,Medical Mutual of Ohio,3514.8,-3000.00%,78.3,-220000%,2646.4,-,-81,2834
749,Granite Construction,3501.9,-17000.00%,10.1,-,2494.9,1504.7,-86,2600
750,Valmont Industries,3501.6,209000.00%,195.6,390000%,3447.2,5083.4,16,11041
751,Sprague Resources,3498.2,498000.00%,-68.9,-3038000.00%,1418.3,433.7,135,757
752,Primoris Services,3497.6,2000.00%,115.6,101000.00%,2543.3,1269.8,-79,10810
753,Cboe Global Markets,3494.8,20000%,529,130000%,6814.5,12148.2,-74,1196
754,Carter's,3486.4,153000.00%,339.7,2097000.00%,3201.8,3763.4,-9,15900
755,TopBuild,3486.2,283000.00%,324,312000.00%,4258.5,5987.1,40,13006
756,SiteOne Landscape Supply,3475.7,285000.00%,238.4,965000.00%,2116.1,7255.5,46,5475
757,Texas Roadhouse,3463.9,444000.00%,245.3,6848000.00%,2512,5787.8,103,73300
758,Akamai Technologies,3461.2,82000.00%,651.6,170000%,8138.7,19210,-47,8700
759,Acuity Brands,3461,40000%,306.3,234000.00%,3575.1,6628.9,-63,13000
759,Brown-Forman,3461,29000.00%,903,92000.00%,6522,31376.6,-70,4700
761,Navient,3454,-73000.00%,717,740000%,80605,2592.3,-117,5263
762,Coterra Energy,3449,1352000.00%,1158,4775000.00%,19900,21872.1,-,936
763,Option Care Health,3438.6,134000.00%,139.9,-,2790.9,5139,-19,6334
764,Floor & Decor Holdings,3433.5,415000.00%,283.2,453000.00%,3730.7,8573.8,92,9276
765,Public Storage,3415.8,172000.00%,1953.3,439000.00%,17380.9,68438.2,-3,5800
766,Cabot,3409,304000.00%,250,-,3306,3871.1,47,4500
767,Crane Holdings,3408,160000%,435.4,1406000.00%,4486.6,6158.9,-10,11000
768,Atmos Energy,3407.5,208000.00%,665.6,107000.00%,19608.7,16182.8,10,4684
769,Selective Insurance Group,3379.2,156000.00%,403.8,639000.00%,10461.4,5391.5,-8,2440
770,Take-Two Interactive Software,3372.8,92000.00%,588.9,456000.00%,6028.2,17744.1,-40,6495
771,Boyd Gaming,3369.8,547000.00%,463.8,-,6224.2,7234,145,15114
772,Plexus,3368.9,-6000.00%,138.9,182000.00%,2461.9,2298.6,-87,19200
773,ScanSource,3364.2,-68000.00%,10.8,-,1671.7,890.8,-118,2200
774,Franchise Group,3362.7,562000.00%,363.8,13514000.00%,3913.2,1669.6,150,11895
775,NLV Financial,3350.8,302000.00%,392.1,1025000.00%,41942.4,-,48,1157
776,CrossAmerica Partners,3350.5,871000.00%,21.7,-798000.00%,1270.1,826.5,-,2218
777,Mr. Cooper Group,3344,224000.00%,1454,3767000.00%,14204,3369.4,15,8200
778,Fortinet,3342.2,288000.00%,606.8,242000.00%,5919.1,54957.1,38,10195
779,Brinker International,3337.8,84000.00%,131.6,4393000.00%,2274.9,1701.9,-43,59491
780,Albemarle,3328,64000.00%,123.7,-671000.00%,10974.1,25899.4,-57,6000
781,Peabody Energy,3318.3,152000.00%,360.1,-,4949.8,3391.5,-9,4900
782,Light & Wonder,3310,215000.00%,371,-,7883,5679.7,12,5600
783,Evercore,3307.1,447000.00%,740.1,1111000.00%,3802.7,4275.1,116,1940
784,Stewart Information Services,3305.8,445000.00%,323.2,1087000.00%,2813.4,1635.1,114,7300
785,Central Garden & Pet,3303.7,226000.00%,151.7,257000.00%,3116.7,2286.5,19,6750
786,GMS,3298.8,18000.00%,105.6,3515000.00%,2483.9,2142.1,-83,5843
787,H.B. Fuller,3278,175000.00%,161.4,305000.00%,4274.5,3505.2,-1,6500
788,Middleby,3250.8,293000.00%,488.5,1357000.00%,6383.6,8961.1,49,10624
789,Renewable Energy Group,3244.1,518000.00%,213.8,741000.00%,2558.9,3056.2,139,1196
790,MSC Industrial Direct,3243.2,16000.00%,216.9,-136000.00%,2462.1,4758.3,-78,6472
791,Vishay Intertechnology,3240.5,295000.00%,298,1424000.00%,3543.3,2840.1,49,22800
792,Applied Industrial Technologies,3235.9,-3000.00%,144.8,5021000.00%,2271.8,3947.9,-91,5947
793,Lincoln Electric Holdings,3234.2,218000.00%,276.5,341000.00%,2592.3,8079.1,16,11000
794,First Horizon,3234,-46000.00%,999,182000.00%,89092,12542.9,-108,7676
795,Spirit Airlines,3230.8,785000.00%,-472.6,-,8540,2375.4,-,9823
796,AptarGroup,3227.2,102000.00%,244.1,140000%,4141.4,7702.9,-37,13000
797,Citrix Systems,3217.2,-6000.00%,307.5,-390000%,6975.5,12704.6,-90,9700
798,IDEXX Laboratories,3215.4,188000.00%,744.8,280000%,2437.2,46089.3,2,10350
799,Tetra Tech,3213.5,73000.00%,232.8,339000.00%,2576.6,8906.7,-51,21000
800,Lyft,3208.3,357000.00%,-1009.4,-,4773.9,13384.6,75,4453
801,Gannett,3208.1,-58000.00%,-135,-,2828.1,643.9,-118,16300
802,ResMed,3196.8,81000.00%,474.5,-237000.00%,4728.1,35463.3,-51,7970
803,Designer Brands,3196.6,430000%,154.5,-,2014.6,991.4,104,13500
804,Graham Holdings,3186,103000.00%,352.1,172000.00%,7425.5,3000.6,-36,15048
805,Vroom,3184.3,1345000.00%,-370.9,-,2366.8,364.7,-,1807
806,Worthington Industries,3171.4,37000.00%,723.8,8186000.00%,3373.2,2537.8,-68,9000
807,Calumet Specialty Products Partners,3148,388000.00%,-260.1,-,2127.9,1070.8,96,1450
808,Xilinx,3147.6,-5000.00%,646.5,-184000.00%,5519.2,-,-92,4890
809,TransUnion,3145,158000.00%,1387.1,3042000.00%,12635,19882.6,-13,10200
810,Travel + Leisure,3134,451000.00%,308,-,6588,4966.2,112,16800
811,Callaway Golf,3133.4,971000.00%,322,-,7747.8,4337.1,-,24800
812,Dycom Industries,3130.5,-21000.00%,48.6,415000.00%,2118.2,2821,-102,15024
813,Columbia Sportswear,3126.4,250000%,354.1,2278000.00%,3067.1,5840.4,28,8325
814,II-VI,3105.9,305000.00%,297.6,-,6512.7,7708.2,54,22961
815,Change Healthcare,3090.4,14704000.00%,-112.2,-,10112.6,6799.3,-,15000
816,Grocery Outlet Holding,3079.6,-18000.00%,62.3,-416000.00%,2669.8,3148,-94,875
817,AMC Networks,3077.6,93000.00%,250.6,44000.00%,5748.9,1721.7,-38,1883
818,Hyster-Yale Materials Handling,3075.7,94000.00%,-173,-5663000.00%,1970.1,561.2,-36,8100
819,ChampionX,3075,618000.00%,113.3,-,3534.7,4976.7,167,7000
820,Comfort Systems USA,3073.6,76000.00%,143.3,-45000.00%,2209.1,3200.5,-44,13200
821,EQT,3064.7,2000.00%,-1155.8,-,21607.4,12955.4,-82,693
822,Brown & Brown,3051.4,168000.00%,587.1,222000.00%,9795.4,20395.7,-8,12023
823,LGI Homes,3050.1,288000.00%,429.6,326000.00%,2351.9,2322.4,50,952
824,Hyatt Hotels,3028,466000.00%,-222,-,12603,10498.3,122,44000
825,Comerica,3024,-23000.00%,1168,1464000.00%,94616,11854.4,-96,7442
826,Energizer Holdings,3021.5,56000.00%,160.9,-,5007.5,2191.7,-51,6000
827,Hill-Rom Holdings,3018.7,48000.00%,248.5,114000.00%,4999.1,-,-54,10000
828,Rackspace Technology,3009.5,112000.00%,-218.3,-,6328.7,2365.6,-29,6600
829,Verisk Analytics,2998.6,77000.00%,666.2,-65000.00%,7808.1,34616.2,-41,9367
830,Spectrum Brands Holdings,2998.1,-244000.00%,189.6,939000.00%,5340.4,3617.6,-209,12100
831,Euronet Worldwide,2995.4,207000.00%,70.7,-,4744.3,6658.2,16,8800
832,TEGNA,2991.1,18000.00%,477,-12000.00%,6917.6,4962.6,-76,6200
833,Vontier,2990.7,106000.00%,413,208000.00%,4349.8,4087.8,-32,8500
834,Cadence Design Systems,2988.2,114000.00%,696,178000.00%,4386.3,45781.7,-29,9298
835,Incyte,2986.3,120000%,948.6,-,4933.4,17577.6,-28,2094
836,Match Group,2983.3,248000.00%,277.7,1160000%,5063.3,31007,28,2520
837,Valvoline,2981,267000.00%,420,325000.00%,3191,5660.5,43,9800
838,EnerSys,2977.9,-36000.00%,143.4,46000.00%,3462.8,3076,-107,11400
839,Avaya Holdings,2973,35000.00%,-13,-,5985,1076,-65,8063
840,UWM Holdings,2970.3,-399000.00%,98.4,-971000.00%,22528.4,7223.5,-311,8000
841,Zions Bancorp.,2970,10000%,1129,1095000.00%,93200,9958.2,-87,9685
842,Quad/Graphics,2960.4,-16000.00%,37.8,-,1890,388.5,-96,15100
843,MKS Instruments,2949.6,266000.00%,551.4,575000.00%,4540.3,8327.6,45,6200
844,Arista Networks,2948,272000.00%,840.9,325000.00%,5734.4,42773.4,45,2993
845,Interactive Brokers Group,2938,185000.00%,308,579000.00%,109113,27961.7,3,2571
846,Range Resources,2930.2,488000.00%,411.8,-,6660.5,7964,120,527
847,Atkore,2928,659000.00%,587.9,2860000%,2210.1,4415.6,-,3700
848,Cheesecake Factory,2927.5,476000.00%,72.4,-,2798.1,2098.6,111,45800
849,First Solar,2923.4,78000.00%,468.7,177000.00%,7413.7,8904.4,-51,4800
850,Bio-Rad Laboratories,2922.5,148000.00%,4245.9,116000.00%,17775.8,16982.2,-21,7900
851,Cooper Cos.,2922.5,202000.00%,2944.7,11352000.00%,9606.2,20587.8,2,12000
852,Envista Holdings,2922.4,281000.00%,340.5,9225000.00%,6574.2,7882.5,48,11200
853,Alight,2915,69000.00%,-60,-,10988,5542.2,-,16000
854,Newmark Group,2906.4,526000.00%,750.7,8377000.00%,5216.2,3009.9,129,6169
855,PC Connection,2892.6,117000.00%,69.9,254000.00%,1083.4,1375.8,-38,2542
856,Host Hotels & Resorts,2890,784000.00%,-11,-,12352,13875.9,-,160
857,Boston Properties,2888.6,44000.00%,505.2,-421000.00%,22365.3,20179.9,-67,743
858,Western Midstream Partners,2877.2,38000.00%,916.3,739000.00%,11273.1,10177.4,-69,1127
859,Magellan Midstream Partners,2870.1,182000.00%,982,202000.00%,8030,10422.1,-4,1715
860,Hillenbrand,2864.8,138000.00%,249.9,-,4014.9,3216.2,-24,10500
861,Donaldson,2853.9,105000.00%,286.9,116000.00%,2400.2,6416.4,-40,13100
862,Moog,2852,-11000.00%,157.2,16080000%,3433.2,2814.6,-91,14000
863,Hawaiian Electric Industries,2850.4,105000.00%,246.2,244000.00%,15822.6,4630,-41,3623
864,Five Below,2848.4,452000.00%,278.8,1260000%,2880.5,8825,105,13150
865,Twilio,2841.8,613000.00%,-949.9,-,12998.6,29916.9,-,7867
866,Univision Communciations,2841,118000.00%,133.7,-,14055.4,-,-36,-
867,Annaly Capital Management,2836.2,11885000.00%,2389.9,-,76764.1,10281,-,171
868,Fleetcor Technologies,2833.7,186000.00%,839.5,192000.00%,13404.7,19398.4,-3,9700
869,West Pharmaceutical Services,2831.6,319000.00%,661.8,912000.00%,3313.8,30508.2,56,10065
870,Green Plains,2827.2,470000%,-66,-,2159.8,1662.5,107,859
871,Cracker Barrel Old Country Store,2821.4,118000.00%,254.5,-,2391.7,2757.6,-38,70000
872,Virtu Financial,2811.5,-132000.00%,476.9,-265000.00%,10320,6622.1,-168,973
873,Teleflex,2809.6,107000.00%,485.4,447000.00%,6871.7,16642.1,-41,14000
874,Zynga,2800.5,418000.00%,-104.2,-,6358.9,10463.5,89,2952
875,ATI,2799.8,-61000.00%,-38.2,-,4285.2,3350.8,-126,6300
876,AppLovin,2793.1,925000.00%,35.4,-,6163.6,20696.8,-,1594
877,Waters,2785.9,178000.00%,692.8,328000.00%,3094.9,18783.4,-3,7800
878,Mutual of America Life Insurance,2784.8,836000.00%,50.7,-,28325.2,-,-,1146
879,Hovnanian Enterprises,2782.9,187000.00%,607.8,10935000.00%,2320.5,371.9,6,1784
880,Amica Mutual Insurance,2777.9,18000.00%,117.1,-363000.00%,6937.3,-,-87,3510
881,Caleres,2777.6,312000.00%,137,-,1843.9,727.5,54,7200
882,FTI Consulting,2776.2,128000.00%,235,115000.00%,3100.9,5400.1,-30,6780
883,Overstock.com,2773.8,88000.00%,389.4,5953000.00%,1066,1897.8,-56,1350
884,Visteon,2773,88000.00%,41,-,2234,3056.1,-56,10000
885,G-III Apparel Group,2766.5,346000.00%,200.6,7520000%,2742.5,1296.1,64,3250
886,ITT,2765,116000.00%,316.3,3363000.00%,3565.4,6415.4,-37,9900
887,IDEX,2764.8,176000.00%,449.4,190000%,4917.2,14591.6,-6,7536
888,Popular,2764.8,62000.00%,934.9,845000.00%,75097.9,6252.3,-73,8351
889,Roku,2764.6,555000.00%,242.4,-,4082.1,16949.3,-,3000
890,Schnitzer Steel Industries,2758.6,611000.00%,165.1,-,1494.4,1445.2,-,3167
891,Brookdale Senior Living,2758.3,-221000.00%,-99.3,-2211000.00%,6410.5,1308.3,-226,28545
892,Werner Enterprises,2734.4,153000.00%,259.1,532000.00%,2603.7,2697.9,-21,13525
893,Americold Realty Trust,2714.8,366000.00%,-30.5,-2241000.00%,8216.2,7489.8,64,16275
894,SkyWest,2713.5,276000.00%,111.9,-,7125.9,1457.6,36,15205
895,Primerica,2709.7,222000.00%,373.4,-33000.00%,16123.2,5326.8,14,3170
896,McAfee,2701,-71000.00%,849,-,3422,-,-132,2262
897,Nu Skin Enterprises,2695.7,44000.00%,147.3,-230000%,1906.5,2385.6,-77,19600
898,Copart,2692.5,221000.00%,936.5,338000.00%,4562.1,29798.8,12,8600
899,PROG Holdings,2677.9,78000.00%,243.6,-,1621.8,1586.9,-53,2023
900,Splunk,2673.7,199000.00%,-1339.1,-,5790.9,23881.6,8,7000
901,MRC Global,2666,41000.00%,-14,-,1671,995.2,-75,2600
902,Stericycle,2646.9,-11000.00%,-27.8,-,5473.1,5415.5,-96,15465
903,Maxim Integrated Products,2632.5,201000.00%,827.3,264000.00%,4523.1,-,9,7100
904,Ensign Group,2627.5,94000.00%,194.7,142000.00%,2850.6,4958.3,-45,25900
905,SM Energy,2622.9,1328000.00%,36.2,-,5234,4746.5,-,506
906,Kaiser Aluminum,2622,1236000.00%,-18.5,-1642000.00%,2422.4,1493.9,-,3957
907,Federated Mutual Insurance,2612.2,141000.00%,320.1,615000.00%,10537.4,-,-10,2702
908,F5,2603.4,107000.00%,331.2,77000.00%,4997.3,12691.2,-26,6429
909,Steelcase,2596.2,-303000.00%,26.1,-869000.00%,2354,1339.5,-264,11400
910,Encore Wire,2592.7,1030000%,541.4,6118000.00%,1530.5,2250.3,-,1440
911,Guess,2591.6,381000.00%,171.4,-,2555.6,1305.5,79,12500
912,Playtika Holding,2583,89000.00%,308.5,2350000%,2803.3,7965.8,-40,4000
913,Pinterest,2578,523000.00%,316.4,-,3537.2,16196.9,-,3225
914,WeWork,2570.1,-248000.00%,-4439,-,21756.2,4937.4,-,4400
915,ManTech International,2554,14000.00%,137,137000.00%,2639.6,3517.6,-80,9800
916,BrightView Holdings,2553.6,88000.00%,46.3,-,3237.6,1351.5,-32,20150
917,NortonLifeLock,2552,-339000.00%,554,-857000.00%,6361,15441.9,-286,2800
918,Deckers Outdoor,2545.6,194000.00%,382.6,385000.00%,2167.7,7457.8,11,3400
919,Griffon,2541.7,56000.00%,79.2,483000.00%,2604.7,1127.8,-61,6700
920,AMC Entertainment Holdings,2527.9,1035000.00%,-1269.1,-,10821.5,12733.4,-,17122
921,Curtiss-Wright,2505.9,48000.00%,267.2,327000.00%,4103.5,5771,-58,7800
922,MYR Group,2498.3,112000.00%,85,447000.00%,1121.1,1594.5,-16,7600
923,Kontoor Brands,2475.9,-,195.4,-,1533,2325.3,-,14000
924,Liberty Energy,2470.8,1558000.00%,-179.2,-,2040.7,2757.9,-,3601
925,Knights of Columbus,2467.5,49000.00%,130.3,372000.00%,28838.4,-,-47,749
926,AdaptHealth,2465.1,1334000.00%,156.2,-,5250.5,2146.6,-,10700
927,MillerKnoll,2465.1,-9000.00%,173.1,-,2061.9,2617.7,-84,7600
928,Equity Residential,2464,-42000.00%,1332.9,459000.00%,21169.2,33802.5,-104,2400
929,DexCom,2448.5,271000.00%,154.7,-687000.00%,4863.6,49824.5,47,6650
930,Rollins,2424.3,122000.00%,350.7,345000.00%,1980.9,17260.7,-9,16482
931,Genesco,2422.1,356000.00%,114.9,-,1562.1,868.7,-,11700
932,Bruker,2417.9,217000.00%,277.1,756000.00%,3650,9694.7,26,7765
933,Joann,2417.6,-125000.00%,56.7,-733000.00%,2362.2,463.2,-142,13530
934,Wolverine World Wide,2414.9,348000.00%,68.6,-,2586.4,1836.1,-,4400
935,Gray Television,2413,13000.00%,90,-780000%,11108,2093.2,-68,8801
936,Affiliated Managers Group,2412.4,190000%,565.7,1798000.00%,8876.4,5606.8,15,4050
937,Summit Materials,2409.7,33000.00%,152.2,103000.00%,4239.1,3687.8,-50,5500
938,SLM,2409.3,24000.00%,1160.5,318000.00%,29221.9,5129.7,-59,1450
939,Belden,2408.1,221000.00%,63.9,-,3417.7,2492.5,25,7400
940,Allison Transmission Holdings,2402,154000.00%,442,478000.00%,4457,3810.6,3,3400
941,Element Solutions,2399.8,295000.00%,203.3,1686000.00%,5138.4,5434.8,-,5300
942,Portland General Electric,2396,117000.00%,244,574000.00%,9494,4940,-16,2839
943,REV Group,2380.8,45000.00%,44.4,-,1238.3,843.4,-41,6800
944,Acadia Healthcare,2376.9,-259000.00%,190.6,-,4768.1,5891.3,-235,19200
945,Alexandria Real Estate Equities,2373.6,29000.00%,571.2,-259000.00%,30219.4,32188.6,-55,559
946,Nordson,2362.2,114000.00%,454.4,821000.00%,3791,13157.1,-12,6813
947,NewMarket,2356.1,172000.00%,190.9,-294000.00%,2558.4,3346.7,7,2104
948,Ohio National Mutual,2346.5,75000.00%,-85.2,-1774958000.00%,40795,-,-34,1082
949,Stepan,2346,255000.00%,137.8,87000.00%,2065.6,2215.6,43,2439
950,Valhi,2335.4,243000.00%,127.2,1304000.00%,3005.2,828.8,39,2847
951,Hilton Grand Vacations,2335,1612000.00%,176,-,8008,6247.9,-,13000
952,Cooper-Standard Holdings,2330.2,-19000.00%,-322.8,-,2226.5,149,-82,21300
953,Etsy,2329.1,350000%,493.5,413000.00%,3831.8,15787.7,-,2402
954,Crocs,2313.4,669000.00%,725.7,1320000%,1545.1,4676.2,-,5770
955,Olympic Steel,2312.3,874000.00%,121.1,-,1023.6,427.8,-,1642
956,Signature Bank,2311.3,152000.00%,918.4,738000.00%,118445.4,18416.9,-,1854
957,SBA Communications,2308.8,108000.00%,237.6,8858000.00%,9801.7,37168.7,-15,1596
958,Murphy Oil,2300.1,167000.00%,-73.7,-,10304.9,6275.3,7,696
959,Entegris,2298.9,236000.00%,409.1,387000.00%,3191.9,17830.9,38,6850
960,AvalonBay Communities,2294.9,-3000.00%,1004.3,213000.00%,19902,34710.3,-64,2883
961,Saia,2288.7,256000.00%,253.2,831000.00%,1845.3,6438.4,-,11600
962,E.W. Scripps,2283.5,192000.00%,122.7,-544000.00%,6658.3,1718.3,17,5600
963,TTEC Holdings,2273.1,166000.00%,141,188000.00%,1996.8,3878,11,65000
964,Sun Communities,2272.6,625000.00%,380.2,1888000.00%,13494.1,20372.8,-,5455
965,Alpha Metallurgical Resources,2258.6,367000.00%,288.8,-,1857.7,2447.5,-,3500
966,GEO Group,2256.6,-40000%,77.4,-315000.00%,4537.4,809.8,-83,15800
