rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
191,Genuine Parts,18870.5,85000.00%,898.8,-,14352.1,17888.1,-18,52000
192,WestRock,18746.1,66000.00%,838.3,-,29254.3,12379,-22,49900
193,EOG Resources,18642,690000%,4664,-,38236,69796,92,2800
194,Cognizant Technology Solutions,18507,111000.00%,2137,535000.00%,17852,47035,-9,330600
195,Moderna,18471,21991000.00%,12202,-,24669,69424.3,-,2700
196,Steel Dynamics,18408.9,917000.00%,3214.1,4835000.00%,12531.2,15811.5,123,10640
197,HF Sinclair,18389.1,644000.00%,558.3,-,12916.6,8895.8,82,4208
198,Texas Instruments,18344,269000.00%,7769,389000.00%,24676,169329.6,12,31000
199,Emerson Electric,18236,86000.00%,2303,172000.00%,24715,58241.7,-18,86700
200,WESCO International,18217.5,478000.00%,465.4,3628000.00%,12617.7,6598.5,45,18000
201,General Mills,18127,28000.00%,2339.8,73000.00%,31841.9,40781.8,-32,35000
202,Tenneco,18035,173000.00%,35,-,11622,1523,-3,71000
203,Waste Management,17931,178000.00%,1816,214000.00%,29097,65802.8,-1,48500
204,Viatris,17886.3,497000.00%,-1269.1,-,54842.8,13160.2,50,37000
205,DISH Network,17881.1,154000.00%,2410.6,368000.00%,48001.7,16743.1,-8,14500
206,L3Harris Technologies,17814,-21000.00%,1846,650000%,34709,47969.6,-43,47000
207,DXC Technology,17729,-94000.00%,-149,-,22038,7977.3,-55,134000
208,Block,17661.2,860000%,166.3,-220000%,13925.8,78655.9,115,8521
209,Goodyear Tire & Rubber,17478,419000.00%,764,-,21402,4029.3,37,72000
210,Uber Technologies,17455,567000.00%,-496,-,38774,69753,71,29300
211,Colgate-Palmolive,17421,58000.00%,2166,-196000.00%,15040,63742.2,-23,33800
212,Stanley Black & Decker,17252.7,187000.00%,1689.2,369000.00%,28180,22843.3,-3,71300
213,DuPont,17160,-159000.00%,6467,-,45707,37739.7,-69,28000
214,Stryker,17108,192000.00%,1994,247000.00%,34631,100978.1,-2,46000
215,NextEra Energy,17069,-52000.00%,3573,224000.00%,140912,166264.1,-49,15000
216,Targa Resources,16949.8,1052000.00%,71.2,-,15208.2,17243.8,148,2430
217,Western Digital,16922,11000.00%,821,-,26132,15536.4,-35,65600
218,PPG Industries,16802,215000.00%,1439,359000.00%,21351,30951.9,2,49300
219,American Electric Power,16792,126000.00%,2488.1,131000.00%,87668.7,50338.6,-15,16688
220,Gap,16670,208000.00%,256,-,12761,5206.6,1,97000
221,BJ's Wholesale Club,16667.3,80000%,426.7,13000.00%,5668.9,9146.9,-23,34000
222,Reinsurance Group of America,16658,141000.00%,617,487000.00%,92175,7354.6,-15,3500
223,Kinder Morgan,16610,420000%,1784,13992000.00%,70416,42878.1,39,10529
224,Oneok,16540.3,936000.00%,1499.7,1447000.00%,23621.6,31516,127,2847
225,Expeditors Intl. of Washington,16523.5,724000.00%,1415.5,1033000.00%,7609.9,17268.8,74,19070
226,Advanced Micro Devices,16434,683000.00%,3162,270000%,12419,177936.1,83,15500
227,Fiserv,16226,93000.00%,1334,392000.00%,76249,66132.8,-22,44000
228,Estée Lauder,16215,134000.00%,2870,3196000.00%,21971,97672.1,-15,53320
229,Bank of New York Mellon,16158,-46000.00%,3759,39000.00%,444438,40056.7,-49,49100
230,Laboratory Corp. of America,16120.9,153000.00%,2377.3,528000.00%,20385.4,24625.8,-12,71725
231,Regeneron Pharmaceuticals,16071.7,891000.00%,8075.3,1299000.00%,25434.8,75806,123,10368
232,Land O'Lakes,15916.4,141000.00%,287.4,85000.00%,9560,-,-13,9000
233,Cheniere Energy,15864,695000.00%,-2343,-,39258,35272.3,95,1550
234,Southwest Airlines,15790,745000.00%,977,-,36320,27129.3,102,55093
235,Adobe,15785,227000.00%,4822,-83000.00%,27241,215280.5,-1,25988
236,Synchrony Financial,15752,-44000.00%,4221,2048000.00%,95748,18145.5,-49,18000
237,Corteva,15655,101000.00%,1759,1583000.00%,42344,41774.9,-23,21000
238,Fidelity National Financial,15643,451000.00%,2422,697000.00%,60690,13849.6,50,28290
239,DTE Energy,15369,262000.00%,907,-337000.00%,39719,25614.6,11,10300
240,Murphy USA,15318.8,612000.00%,396.9,28000.00%,4048.2,4888.6,82,10430
241,Halliburton,15295,59000.00%,1457,-,22321,34028.9,-30,40000
242,Automatic Data Processing,15005.4,28000.00%,2598.5,54000.00%,48772.5,95577.1,-34,56000
243,Edison International,14905,98000.00%,759,27000.00%,74745,26693.8,-17,13003
244,BorgWarner,14838,460000%,537,74000.00%,16575,9335,51,49300
245,Nordstrom,14789,380000%,178,-,8869,4321.3,44,72000
246,Loews,14657,165000.00%,1578,-,81626,15971.3,-7,10340
247,Guardian Life Ins. Co. of America,14647.8,80000%,288.8,11285000.00%,90419.7,-,-20,9150
